Year,Authors,Title,,,
2015,"Webber, D.N.",Modelling Complexity and Uncertainty in Fisheries Stock Assessment,Journal,,Pages
2016,"Webber, D.N.; Thorson, J.T.",Variation in growth among individuals and over time: A case study and simulation experiment involving tagged Antarctic toothﬁsh,Fisheries Research,180,67-76
